key,en,fr,it,de,es,tr,tl,ru,ja,pt-br,tok,mis-edikan,mis-meow
Markdown.Strikethrough.Description,"Draw a line through text to indicate deletion, inaccuracy, or irrelevance",,"Traccia una linea sul testo per indicare cancellazione, inesattezza o irrilevanza",,,Sanki silinmişçesine yazının üstüne çizgi çeker,"Guhitan ng texto gamit ang linya upang ipahiwatig ang pagtanggal, kawalan ng katumpakan, o kawalan ng kabuluhan","Проведите линию сквозь текст, чтобы обозначить удаление, неаккуратность или неважность",,"Desenha uma linha através do texto para indicar anulação, imprecisão, ou irrelevância",,,"Meow meow meow meow meow meow meow meow, meow, meow meow"
Markdown.Subscript.Title,Subscript,,Pedice,,,Alt Simge,Subscript,Нижний Индекс,,Subscrito,,,Meow
Markdown.Subscript.Description,"Display text slightly below the normal line (used for chemical formulas, math, and footnotes)",,"Visualizza il testo leggermente al di sotto della riga normale (usato per formule chimiche, matematica e note a piè di pagina)",,,Bir yazının azıcık altında başka bir yazı gösterir (formüller ve dipnotlar için kullanılır),"Ipakita ang texto sa ilalim ng normal na linya (gamit sa chemical formula, matimatika, at mga footnotes)","Отображайте текст слегка ниже линии (используется для химических формул, математики и примечаний)",,"Exibe texto logo abaixo da linha normal (usado para fórmulas químicas, matemática, e anotações)",,,"Meow meow meow meow meow meow meow (meow meow meow meow, meow, meow meow)"
Markdown.Superscript.Title,Superscript,,Apice,,,Üst Simge,Superscript,Верхний Индекс,,Sobrescrito,,,Meow
Markdown.Superscript.Description,"Display text slightly above the normal line (used for exponents, ordinal indicators, and references)",,"Visualizza il testo leggermente al di sopra della riga normale (usato per esponenti, indicatori ordinali e riferimenti)",,,"Bir yazının azıcık üstüne başka bir yazı gösterir (üslü sayılar, göstergeler ve referanslarda kullanılır)","Ipakita ang texto sa ibabaw ng normal na linya (gamit sa exponents, ordinal indicators at references)","Отображайте текст слегка выше линии (используется для экспонент, показателей порядка и отссылок)",,"Exibe texto logo acima da linha normal (usado para exponentes, indicadores ordenais, e referências)",,,"Meow meow meow meow meow meow meow (meow meow meow, meow meow, meow meow)"
Markdown.Link.Title,Link,,Collegamento,,,Bağlantı,Link,Ссылка,,Link,,,Meow
Markdown.Link.Description,Add a clickable hyperlink to link to other content,,Aggiunge un link cliccabile per collegarsi ad altri contenuti,,,Başka bir sayfaya bağlantı oluştur,Lagyan ng isang na-click na hyperlink upang mag-link sa iba pang nilalaman,Добавьте кликабельную гиперссылку ведущую к другому содержимому,,Adiciona um hiperlink clicável para outro conteúdo,,,Meow meow meow meow meow meow meow meow meow
Markdown.Image.Title,Image,,Immagine,,,Resim,Litrato,Изображение,,Imagem,,,Meow
Markdown.Image.Description,Insert an image into the content,,Inserisce un'immagine nel contenuto,,,İçeriğe bir resim ekle,Lagyan ng imahe sa loob ng sulatin,Добавьте изображение к содержимому,,Insere uma imagem no conteúdo,,,Meow meow meow meow meow meow
Markdown.HorizontalRule.Title,Horizontal Rule,,Divisore orizzontale,,,Yatay Ayraç,Horizontal Rule,Горизонтальная Линия,,Regra Horizontal,,,Meow meow
Markdown.HorizontalRule.Description,Add a horizontal rule (a thematic break between paragraph-level elements),,Aggiunge una riga orizzontale (una separazione tematica tra elementi a livello di paragrafo),,,Yatay bir çizgi ekle,Magdagdag ng horizontal rule (isang temang pahinga sa pagitan ng mga talata),Добавьте горизонтальную линию (для тематического разрыва между параграфами),,Adiciona uma regra horizontal (uma quebra temática entre parágrafos),,,Meow meow meow meow (meow meow meow meow meow-meow meow)
Markdown.Quote.Title,Quote,,Citazione,,,Alıntı,Quote,Цитата,,Citação,,,Meow
Markdown.Quote.Description,Insert a quote block (used to highlight sections of directly quoted text),,Inserisce un blocco di citazione (usato per evidenziare sezioni di testo citato direttamente),,,Bir alıntı bloğu ekle,Magdagdag ng quote block  (pinahihiwatig ang mga grupo na kinopyang texto),Вставьте цитатный блок (чтобы обозначить секции напрямую процитированного текста),,Insere um bloco de citação (usado para destacar seções de citação direta),,,Meow meow meow meow (meow meow meow meow meow meow meow meow)
Markdown.CodeBlock.Title,CodeBlock,,Codice,,,Kod Bloğu,CodeBlock,Блок Кода,,Bloco de Código,,,Meow
Markdown.CodeBlock.Description,Insert a code block to color and stylize inserted code,,Inserisce un blocco di codice per colorare e stilizzare il codice inserito,,,Kod bloğu ekleyerek kodu renklendir ve stilize et,Lagyan ng code block para kulayin at istilyohin ang nilagyang code,"Вставьте блок кода, чтобы окрасить и стилизировать вставленный код",,Insere um bloco de código para colorir e estilizar código,,,Meow meow meow meow meow meow meow meow meow meow
Markdown.AlignLeft.Title,Align Left,,Allinea a sinistra,,,Sola Hizala,Ihanay sa kaliwa,По Левому Краю,,Alinhar à esquerda,,,Meow meow
Markdown.AlignLeft.Description,Align text to the left,,Allinea il testo a sinistra,,,Yazıyı sola hizala,Ihanay ang teksto sa kaliwa,Выравнивайте текст по левому краю,,Alinha o texto à esquerda,,,Meow meow meow meow meow
Markdown.AlignCenter.Title,Align Center,,Allinea al centro,,,Ortaya Hizala,Ihanay sa gitna,По Середине,,Alinhar no Centro,,,Meow meow
Markdown.AlignCenter.Description,Center text,,Allinea il testo al centro,,,Yazıyı ortaya hizala,Ihanay ang teksto sa gitna,Выравнивайте текст по середине,,Centralizar o texto,,,Meow meow
Markdown.AlignRight.Title,Align Right,,Allinea a destra,,,Sağa Hizala,Ihanay sa kanan,По Правому Краю,,Alinhar à Direita,,,Meow meow
Markdown.AlignRight.Description,Align text to the right,,Allinea il testo a destra,,,Yazıyı sağa hizala,Ihanay ang teksto sa kanan,Выравнивайте текст по правому краю,,Alinha o texto à direita,,,Meow meow meow meow meow
Markdown.Justify.Title,Justify,,Giustificato,,,Yasla,Justify,По Ширине,,Justificar,,,Meow
Markdown.Justify.Description,Stretch text to so edges align evenly,,Allinea il testo in modo che i bordi si allineino in modo uniforme,,,Kenarlar yaslanacak şekilde yazıyı genişlet,Pahabain ang texto para ang gilid ay pantay-pantay,"Растяните текст, чтобы края выравнивались ровно",,Estende o texto para as bordas,,,Meow meow meow meow meow meow meow
Markdown.Undo.Title,Undo,,Annulla,,,Geri Al,Undo,Назад,,Desfazer,,,Meow
Markdown.Undo.Description,Undo the last action,,Annulla l'ultima azione,,,Son yapılanı geri al,Tanggalin ang huling gawain,Отмените последнее действие,,Desfazer última ação,,,Meow meow meow meow
Markdown.Redo.Title,Redo,,Ripeti,,,Tekrar Et,Redo,Вперед,,Refazer,,,Meow
Markdown.Redo.Description,Redo the last undone action,,Ripeti l'ultima azione annullata,,,Geri alınanı tekrar et,Uliting ang huling tinanggal na gawain,Отмените последнее отмененное действие,,Refazer última ação desfeita,,,Meow meow meow meow meow
GameSort.Random.Title,Random,,Casuale,,,Rasgele,Random,Случайно,,Aleatório,,,Meow
GameSort.Random.Description,Shows games in a random order,,Mostra i giochi in ordine casuale,,,Oyunları rasgele bir sırada göster,Ipakita ang mga games sa isang random order,Показывать игры в случайном порядке,,Mostra jogos em ordem aleatória,,,Meow meow meow meow meow meow
GameSort.LeastRatings.Title,Least Ratings,,Meno valutazioni,,,En Düşük Derece,Least Ratings,Меньший Рейтинг,,Poucas Avaliações,,,Meow meow
GameSort.LeastRatings.Description,Shows games that have the least amount of ratings first,,Mostra prima i giochi con il minor numero di valutazioni,,,Oyunları en düşükleri önceleyerek göster,Ang may pinakamababang numero ng rating ay ang unang makikita,Показывать игры с самым низким рейтингом,,Mostra jogos que têm a menor quantidade de avaliações primeiro,,,Meow meow meow meow meow meow meow meow meow meow
GameSort.Danger.Title,Danger,,In pericolo,,,Tehlike,Danger,Опасность,,Perigo,,,Meow
GameSort.Danger.Description,Shows games closest to being able to be ranked,,Mostra i giochi più vicini a poter essere classificati,,,Derecelendirmeye girmeye yakın oyunları göster,"Ipakita ang mga games na hindi pa ranked, pero malapit na, sa ibabaw ng listahan","Показывать игры ближайшие к тому, чтобы попасть в ранк",,Mostra jogos perto de ser ranqueados,,,Meow meow meow meow meow meow meow meow meow
Games.Title,Games,,Giochi,,,Oyunlar,Games,Игры,,Jogos,,,Meow
Games.Description,Explore the collection of games uploaded to the site,,Esplora la collezione di giochi caricati sul sito,,,Siteye yüklenmiş oyun koleksiyonunu keşfet,Tignan ang lahat ng games na inupload sa site,Посмотрите коллекцию игр загруженных на сайт,,Explore a coleção de jogos enviados ao site,,,Meow meow meow meow meow meow meow meow meow
About.Title,About the event,,Informazioni sull'evento,,,Etkinlik Hakkında,Tungkol sa event,О событии,,Sobre o evento,,,Meow meow meow
About.Description,"D2Jam is a community centered game jam with a emphasis on supporting things constructed by the community! We wanted a jam which celebrated post-submission events, encouraged discourse and reflection, and provided tools for developers to find and share games.

D2Jam is an online game jam that anyone is free to join and that lasts for 3 days (Somewhere between Friday and Monday depending on timezones). There is a 2 hour submission window at the end as a time to make sure you get your game submitted before the jam fully ends. After the jam there is a 2 week rating period to play, rate, and give feedback to other entries in the jam. In addition any post jam events such as the Score Chasers tournament will be run in the post jam period.

We have 2 categories: Regular and O.D.A (One Dev Army). Both happen at the same time.",,"D2Jam è una game jam incentrata sulla community, con l'obiettivo di supportare i contenuti creati dalla comunità stessa! Volevamo una jam che valorizzasse gli eventi successivi alla consegna, incoraggiasse il dibattito e la riflessione e fornisse strumenti agli sviluppatori per trovare e condividere i giochi.

D2Jam è una game jam online a cui chiunque può partecipare liberamente e che dura 3 giorni (di solito tra venerdì e lunedì, a seconda del fuso orario). Alla fine della jam è prevista una finestra di consegna di 2 ore, per assicurarsi che tutti riescano a caricare il proprio gioco prima della chiusura definitiva. Dopo la jam, inizia un periodo di votazione di 2 settimane, in cui si possono provare, votare e commentare i giochi degli altri partecipanti. Inoltre, qualsiasi evento post-jam, come il torneo Score Chasers, si svolgerà in questo periodo.

Abbiamo 2 categorie: Regular e O.D.A (One Dev Army). Entrambe si svolgono contemporaneamente.",,,"D2Jam, topluluk odaklı bir game jam etkinliğidir ve topluluk tarafından oluşturulan şeyleri desteklemeye özellikle önem verir! Biz, jam sonrası etkinliklerin kutlandığı, tartışmanın ve düşünmenin teşvik edildiği ve geliştiricilerin oyun bulup paylaşmaları için araçlar sunan bir jam yapmak istedik.

D2Jam, herkesin katılmakta özgür olduğu ve 3 gün süren (zaman dilimlerine göre Cuma ile Pazartesi arasında değişen) çevrim içi bir game jam'dir. Jam’in sonunda, oyununuzu tamamlayıp gönderebilmeniz için 2 saatlik ek bir gönderim penceresi bulunur. Jam bittikten sonra katılımcıların oyunları oynayıp değerlendirebileceği ve geri bildirim verebileceği 2 haftalık bir oylama dönemi başlar. Ayrıca Score Chasers turnuvası gibi gönderim sonrası tüm etkinlikler de bu dönemde gerçekleşir.

2 kategorimiz var: Regular (Normal) ve O.D.A (One Dev Army - Tek Geliştirici Ordusu). Her ikisi de aynı anda gerçekleşir.",,"D2Jam — это игровой джем ориентированный на сообщество и для сообщества! Мы хотели организовать джем, который бы праздновал события после подачи игр: стимулировал обсуждения и размышления, а также предоставлял инструменты для разработчиков, чтобы они могли находить игры и делиться собственными детищами.

D2Jam — это онлайн-джем, к которому может присоединиться любой желающий, и который длится 3 дня (с пятницы по понедельник, в зависимости от часовых поясов). В конце есть 2-х часовое окно для подачи работ, чтобы убедиться, что вы успели отправить свою игру до полного завершения джема. После джема следует 2-х недельный период оценки, во время которого можно играть в игры других участников, ставить оценки и давать фидбек. Кроме того, любые события после джема, такие как турнир Score Chasers, будут проводиться именно в этот пост-джем период.

У нас есть 2 категории: Regular и O.D.A (Армия Одного Разраба). Обе проходят одновременно.",,"D2Jam é um game jam centrada na comunidade com ênfase no apoio de coisas construídas pela comunidade! Nós queriamos um jam que celebrasse eventos pós-envio, encorajasse discurso e reflexão, e provém ferramentas para desenvolvedores para achar e compartilhar jogos.

D2Jam é um game jam online que qualquer um pode entrar e que dura 3 dias (Mais ou menos durante Sexta-Feira e Segunda-Feira dependendo do fuso horário). Há uma janela de 2 horas de envio no fim como um tempo para ter certeza que você envie seu jogo antes do jam termine completamente. Depois do jam há um período de avaliação de 2 semanas para jogar, avaliar, e dar seu feedback para outros jogos no jam. Somado a isso qualquer evento pós-jam como o torneiro Perseguidores de Pontos acontecerão no período pós-jam.

Nós temos 2 categorias: Regular e E.U.D (Exército de Um Desenvolvidor). Ambos ocorrem ao mesmo tempo.",,,"Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow! Meow meow meow meow meow meow meow-meow meow, meow meow meow meow, meow meow meow meow meow meow meow meow meow meow.

Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow (meow meow meow meow meow meow meow meow). Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow, meow, meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.

Meow meow meow meow: meow meow meow.meow.meow (meow meow meow). Meow meow meow meow meow meow."
GameFAQ.Title,Game FAQ,,FAQ sui Giochi,,,Oyun S.S.S,,ФАГ по Игре,,Perguntas Frequentes Sobre Jogo,,,Meow meow
GameFAQ.Description,Questions relating to creating and submitting games to the jam,,Domande relative alla creazione e alla consegna dei giochi per la jam,,,Jam'e oyun yaratma ve yükleme hakkında sorualr,,Вопросы касающиеся создания и подачи игры на джем,,Perguntas relacionadas à criação e envios de jogos ao jam,,,Meow meow meow meow meow meow meow meow meow meow
GameFAQ.Q1.Number,Q1,,D1,,,S1,,В1,,P1,,,Meow
GameFAQ.Q1.Question,How long do I have to make the game?,,Quanto tempo ho per creare il gioco?,,,Oyunu ne kadar sürede yapmam gerekiyor?,,Как долго я могу делать игру?,,Quanto tempo tenho para fazer meu jogo?,,,Meow meow meow meow meow meow meow meow meow?
GameFAQ.Q1.Answer,3 Days. From Friday to Monday (depending on the time zone).,,"Hai 3 giorni, da venerdì a lunedì (a seconda del fuso orario)",,,3 Gün. Cuma'dan Pazartesi'ye ( zaman dilimine göre değişiklik gösterebilir),,3 Дня. С Пятницы по Понедельник (в зависимости от временной зоны),,3 Dias. De Sexta à Segunda (dependendo do fuso horário).,,,Meow meow. Meow meow meow meow (meow meow meow meow meow).
GameFAQ.Q2.Number,Q2,,D2,,,S2,,В2,,P2,,,Meow
GameFAQ.Q2.Question,"Can I use premade code and assets (art, graphics, music, SFX, etc)?",,"Posso usare codice e risorse (arte, grafica, musica, SFX, ecc.) già pronti?",,,"Hazır kod veya asset(sanat,grafik, müzik, ses efekti, vb...) kullanabilir miyim?",,"Могу я использовать заранее подготовленный код и ассеты (арт, графика, музыка, звуковые эффекты и т.д.)?",,"Eu posso usar código e assets (artes, gráficos, músicas, SFXs, etc) pré-feitos?",,,"Meow meow meow meow meow meow meow (meow, meow, meow, meow, meow)?"
GameFAQ.Q2.Answer,"Regular: Yes! Anything goes, as long as the game's core experience is crafted during the allowed time.

O.D.A: In general, no. This category focuses on creating a game from scratch. However, it's OK to use pre-existing assets from the following categories: fonts, code (engine, shaders, etc.) and logos. This means you cannot use any premade art, music, or SFX. Additionally, the game's core experience must be crafted during the allowed time.",,"Regular: Sì! Vale tutto, a patto che l'esperienza di gioco principale venga creata durante il tempo stabilito.

O.D.A: In generale, no. Questa categoria si concentra sulla creazione di un gioco da zero. Tuttavia, è permesso usare risorse già esistenti dalle seguenti categorie: font, codice (motore, shader, ecc.) e loghi. Ciò significa che non puoi usare arte, musica o SFX già pronti. Inoltre, l'esperienza di gioco principale deve essere creata durante il tempo stabilito.",,,"Regular: Evet! Yani, oyunun ana deneyimi jam süresi içinde yapıldığı sürece bir sıkıntı yok.

O.D.A: Genel olarak hayır. Bu kategori oyunu sıfırdan yaratmanız için düzenlenmiştir. Ancak, şu kategorilerdeki önceden yaratılmış asset'ler kabul edilir:
Font'lar, kod (oyun motoru, shader'lar, vb...) ve logolar.
Bu daha önceden yaratılmış sanat, müzik ve ses efekti kullanamayacağınız anlamına geliyor.
Ek olarak, oyunun ana deneyimi verilen sürede yapılmış olmalıdır.",,"Regular: Да! Разрешается всё, при условии, что основная часть игры создаётся в течение установленного времени.

O.D.A: В общем — нет. Эта категория сосредоточена на создании игры с нуля. Однако разрешается использовать готовые материалы из следующих категорий: шрифты, код (движок, шейдеры и т. д.) и логотипы. Это значит, что нельзя использовать заранее сделанную графику, музыку или звуковые эффекты. Кроме того, основная часть игры должна быть создана в течение установленного времени.",,"Regular: Sim! Qualquer coisa vai, desde que a experiência principal do jogo é feita durante o tempo permitido.

E.U.D: Em geral, não. Essa categoria foca em criar um jogo do zero. Porém, é OK usar assets pré-existente das seguintes categorias: fontes, códigos (engine, shaders, etc.) and logos. Isso significa que você não pode usar qualquer arte, música, ou SFX pré-feito. Ademais, o conceito principal do jogo deve ser feito durante o tempo permitido.",,,"Meow: meow! Meow meow, meow meow meow meow meow'meow meow meow meow meow meow meow meow meow.

Meow.meow.meow: meow meow, meow. Meow meow meow meow meow meow meow meow meow. Meow, meow'meow meow meow meow meow-meow meow meow meow meow meow: meow, meow (meow, meow, meow.) meow meow. Meow meow meow meow meow meow meow meow, meow, meow meow. Meow, meow meow'meow meow meow meow meow meow meow meow meow meow."
GameFAQ.Q3.Number,Q3,,D3,,,S3,,В3,,P3,,,Meow
GameFAQ.Q3.Question,Can I use generative AI to make aspects of the game?,,Posso usare l'IA generativa per creare parti del gioco?,,,Oyunu yaparken üretken Yapay Zeka kullanabilir miyim?,,Могу ли я использовать генеративное ИИ для аспектов игры?,,Posso usar IA gerativa para fazer aspectos do meu jogo?,,,Meow meow meow meow meow meow meow meow meow meow meow?
GameFAQ.Q3.Answer,"The use of generative AI is restricted.

As a community, we understand the negative impact generative AI has on creatives with specialist skill sets. We understand that many generative AI tools were trained unethically. Our jam celebrates creatives and their work. D2J organizers feel that using generative AI to replace traditional roles in game development is not in the spirit of game jamming.

The restriction focuses on tech that is widely considered ""not in the spirit of game jamming"". Most of this is based around generating content for your game that would otherwise be created by a hypothetical team mate. The restriction is less focused on AI tech that is not replacing creativity, such as auto-complete coding or searching for information on the web. 
To clarify, asking an AI Agent to write a chunk of code for you or asking it to fix your code is still forbidden.

Enforcement of rules in a game jam, around AI or otherwise, is challenging. We will be adding the ability to report entries that have clearly breached any jam rules. Reports will be manually reviewed by the jam organizers.",,"L'uso dell'IA generativa è limitato.

Come community, comprendiamo l'impatto negativo dell'IA generativa sui creativi con competenze specialistiche. Sappiamo che molti strumenti di IA generativa sono stati sviluppati in modo non etico. La nostra jam celebra i creativi e il loro lavoro. Gli organizzatori di D2J ritengono che l'uso dell'IA generativa per sostituire i ruoli tradizionali nello sviluppo di videogiochi non sia nello spirito del game jamming.

La restrizione si concentra su tecnologie ampiamente considerate ""non nello spirito del game jamming"". La maggior parte di queste si basa sulla generazione di contenuti per il gioco che altrimenti verrebbero creati da un ipotetico compagno di squadra. La restrizione si concentra meno sulle tecnologie di IA che non sostituiscono la creatività, come il completamento automatico del codice o la ricerca di informazioni sul web.
Per chiarire, chiedere a un agente di IA di scrivere una parte di codice per te o di correggerlo è ancora vietato.

L'applicazione delle regole in una game jam, relative all'IA o altro, è impegnativa. Aggiungeremo la possibilità di segnalare i partecipanti che hanno chiaramente violato le regole della jam. I report saranno esaminati manualmente dagli organizzatori della jam.",,,"Üretici Yapay Zeka kullanımı kısıtlanmıştır.

Topluluk olarak, üretici yapay zekanın uzman becerilere sahip yaratıcılar üzerindeki olumsuz etkisinin farkındayız. Birçok üretici yapay zeka aracının etik olmayan yöntemlerle eğitildiğini biliyoruz. Jam etkinliğimiz, yaratıcıları ve onların işlerini kutlamak için düzenlenmiştir. D2J organizatörleri, oyun geliştirmede geleneksel rolleri üretici yapay zeka ile değiştirmenin game jam ruhuna uygun olmadığını düşünüyor.

Kısıtlama, genel olarak ""game jam ruhuna uygun olmayan"" olarak değerlendirilen teknolojilere odaklanmaktadır. Bunun büyük bölümü, normalde olası bir ekip arkadaşı tarafından yapılacak içerikleri oyununuza üretici yapay zeka ile eklemekle ilgilidir. Kısıtlama, yaratıcılığın yerini almasa da otomatik kod tamamlama veya internette bilgi arama gibi yapay zeka teknolojilerine odaklanmamaktadır.
Açıklık getirmek gerekirse, bir Yapay Zeka Agentından sizin için bir kod parçası yazmasını veya kodunuzu düzeltmesini istemek yasaktır.

Bir game jam’de, yapay zeka veya başka bir konuda kuralları uygulamak zordur. Jam kurallarını açıkça ihlal eden girişleri rapor etme imkanı ekleyeceğiz. Raporlar, jam organizatörleri tarafından manuel olarak incelenecektir.",,"Использование генеративного ИИ ограничено.

Как сообщество, мы понимаем негативное влияние генеративного ИИ на творцов с узкой профессиональной специализацией. Мы также понимаем, что многие инструменты генеративного ИИ были обучены неэтичными методами. Наш джем празднует создателей и их труд. Организаторы D2J считают, что использование генеративного ИИ для замены традиционных ролей в разработке игр не соответствует духу геймджема.

Ограничение касается технологий, которые широко считаются «не соответствующими духу геймджема». В основном это связано с генерацией контента для вашей игры, который в противном случае мог бы создать гипотетический напарник по команде. Ограничение в меньшей степени касается ИИ-технологий, не заменяющих творчество, таких как автодополнение кода или поиск информации в интернете.
Для ясности: просить ИИ-агента написать за вас часть кода или исправить ваш код также запрещено.

Соблюдение правил на геймджеме, будь то вокруг ИИ или чего-либо ещё, представляет собой сложную задачу. Мы добавим возможность сообщать об участниках, которые явно нарушили правила джема. Все жалобы будут вручную рассмотрены организаторами.",,"O uso de IA gerativa é restrito.

Como uma comunidade, nós entendemos o impacto negativo a IA gerativas têm no criadores com habilidades especialistas. Entendemos que muitas ferramentas IA gerativas foram treinadas de forma antiética. Nosso jam celebra criadores e seus trabalhos. Organizadores do D2J acreditam que usando IA gerativa para substituir cargos tradicionais no desenvolvimento de jogos não se encaixa no espírito de game jam.

A restrição foca em tecnologia largamente considerado que ""não se encaixa no espírito de game jam"". Grande parte disso é baseado na geração de conteúdo para seu jogo que seria criado por um colega de equipe hipotético. A restrição é menos focado em tecnologia IA que não substitui criatividade, como auto compleção de código ou pesquisa por informação na internet.
Para esclarecer, pedir para IA escrever um pedaço de código para você ou para arrumar seu código é ainda proibido.

A aplicação das regras em um game jam, IA ou não, é desafiador. Nós iremos adicionar a habilidade de reportar jogos que claramente quebraram as regras. Denúncias serão manualmente revisadas pelos organizadores do jam.",,,"Meow meow meow meow meow meow meow.

Meow meow meow, meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.

Meow meow meow meow meow meow meow meow meow ""meow meow meow meow meow meow meow"". Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow, meow meow meow-meow meow meow meow meow meow meow meow meow. 
Meow meow, meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.

Meow meow meow meow meow meow meow, meow meow meow meow, meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow."
GameFAQ.Q4.Number,Q4,,D4,,,S4,,В4,,P4,,,Meow
GameFAQ.Q4.Question,How do I submit a game?,,Come si consegna un gioco?,,,Oyunumu nasıl yüklerim?,,Как мне подать игру?,,Como eu envio um jogo?,,,Meow meow meow meow meow meow?
GameFAQ.Q4.Answer,"You will need to upload your game to a site such as Itch.io to host the game files. Then you can make a game page on the d2jam site (by clicking the create game button) and create a link on that page to where you hosted the game files.

A page on the d2jam site is required to let people browse games in the jam easily and to let you be rated. Eventually we may support game hosting directly on the d2jam site in a future jam but it would require the jam being supported by donations due to storage costs.",,"Dovrai caricare il tuo gioco su un sito come Itch.io per ospitare i file di gioco. Successivamente, puoi creare la pagina del gioco sul sito d2jam (cliccando sul pulsante ""Crea gioco"") e inserire un link alla pagina dove hai caricato i file di gioco.

Una pagina sul sito d2jam è necessaria per consentire agli utenti di sfogliare facilmente i giochi della jam e per ricevere una valutazione. In futuro, potremmo supportare l'hosting diretto dei giochi sul sito d2jam per una jam futura, ma ciò richiederebbe che la jam fosse finanziata tramite donazioni a causa dei costi di archiviazione.",,,"Oyununuzu Itch.io gibi bir siteye yükleyerek oyun dosyalarını barındırabilirsiniz. Daha sonra d2jam sitesinde bir oyun sayfası yaratın(Oyun Yarat tuşuna basarak) ve buradan dosyaları barındırdığınız sayfaya bir bağlantı oluşturun.

İnsanların sizin oyununuzu puanlayıp yorum atabilmesi için d2jam sitesinde bir oyun sayfanız olması gerekiyor.
Eğer ileride bağışlarla yeterince destek alırsak dosya barındırma işini de direkt sitemize taşımayı planlıyoruz.
",,"Вам нужно будет загрузить свою игру на сайт, например Itch.io, чтобы разместить игровые файлы. Затем вы можете создать страницу игры на сайте d2jam (нажав кнопку «Создать игру») и добавить на этой странице ссылку на место, где размещены файлы игры.

Страница на сайте d2jam обязательна — она позволяет людям легко находить игры участвующие в джеме, а также даёт возможность вашей игре получать оценки. В будущем мы, возможно, добавим поддержку загрузки игр напрямую на сайт d2jam, но это потребует финансирования джема через пожертвования из-за стоимости хранения данных.",,"Você precisa fazer upload do seu jogo para um site como o Itch.io para segurar os arquivos do jogo. Então você pode fazer um página de jogo no D2Jam (clicando no botão de criar jogo) e criar um link para a página que você colocou os arquivos do jogo.

Uma página no D2Jam é necessário para pessoas procurarem jogos no jam facilmente e que você possa ser avaliado. Eventualmente nós poderemos haver suporte para ter os arquivos do jogo diretamente no D2Jam em futuros jams mas isso necessitaria que o jam fosse apoiado por doações por causa dos custos de armazenamento.",,,"Meow meow meow meow meow meow meow meow meow meow meow meow meow.meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow (meow meow meow meow meow meow) meow meow meow meow meow meow meow meow meow meow meow meow meow meow.

Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow."
GameFAQ.Q5.Number,Q5,,D5,,,S5,,В5,,P5,,,Meow
GameFAQ.Q5.Question,Can I update the game after submission?,,Posso aggiornare il gioco dopo la consegna?,,,Oyunumu yükledikten sonra güncelleyebilir miyim?,,Могу ли я обновить игру после подачи?,,Posso fazer um update para o jogo depois do envio?,,,Meow meow meow meow meow meow meow?
